Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-0362,MB-0362,0.0967
brca_metabric,MB-0363,MB-0363,0.0181
brca_metabric,MB-0364,MB-0364,-0.5513
brca_metabric,MB-0365,MB-0365,-0.5374
brca_metabric,MB-0366,MB-0366,-0.0136
brca_metabric,MB-0367,MB-0367,0.1684
brca_metabric,MB-0368,MB-0368,0.0061
brca_metabric,MB-0369,MB-0369,0.4643
brca_metabric,MB-0370,MB-0370,0.5213
brca_metabric,MB-0371,MB-0371,-1.4683
brca_metabric,MB-0372,MB-0372,-0.8962
brca_metabric,MB-0373,MB-0373,-0.6521
brca_metabric,MB-0374,MB-0374,-0.9108
brca_metabric,MB-0375,MB-0375,0.4648
brca_metabric,MB-0377,MB-0377,-0.0755
brca_metabric,MB-0378,MB-0378,0.4523
brca_metabric,MB-0379,MB-0379,0.4051
brca_metabric,MB-0380,MB-0380,0.7375
brca_metabric,MB-0381,MB-0381,-1.8024
brca_metabric,MB-0382,MB-0382,-0.0499
brca_metabric,MB-0383,MB-0383,-0.2706
brca_metabric,MB-0384,MB-0384,0.0776
brca_metabric,MB-0385,MB-0385,0.1369
brca_metabric,MB-0386,MB-0386,-0.167
brca_metabric,MB-0388,MB-0388,0.6008
brca_metabric,MB-0389,MB-0389,1.0296
brca_metabric,MB-0390,MB-0390,-1.5019
brca_metabric,MB-0391,MB-0391,0.582
brca_metabric,MB-0392,MB-0392,-0.9521
brca_metabric,MB-0393,MB-0393,-0.646
brca_metabric,MB-0394,MB-0394,-0.0373
brca_metabric,MB-0395,MB-0395,-0.9339
brca_metabric,MB-0396,MB-0396,-1.1751
brca_metabric,MB-0397,MB-0397,0.7195
brca_metabric,MB-0398,MB-0398,-1.0884
brca_metabric,MB-0399,MB-0399,-0.8551
brca_metabric,MB-0400,MB-0400,-0.2831
brca_metabric,MB-0401,MB-0401,-1.1735
brca_metabric,MB-0402,MB-0402,-0.2281
brca_metabric,MB-0403,MB-0403,0.0002
brca_metabric,MB-0404,MB-0404,0.2952
brca_metabric,MB-0405,MB-0405,2.3764
brca_metabric,MB-0406,MB-0406,-0.6045
brca_metabric,MB-0408,MB-0408,-0.5681
brca_metabric,MB-0410,MB-0410,0.3712
brca_metabric,MB-0411,MB-0411,-0.9066
brca_metabric,MB-0412,MB-0412,-0.597
brca_metabric,MB-0413,MB-0413,0.4469
brca_metabric,MB-0414,MB-0414,-0.0357
brca_metabric,MB-0417,MB-0417,1.0974
brca_metabric,MB-0418,MB-0418,-0.8864
brca_metabric,MB-0419,MB-0419,0.5163
brca_metabric,MB-0420,MB-0420,0.8751
brca_metabric,MB-0421,MB-0421,-1.1927
brca_metabric,MB-0422,MB-0422,1.1816
brca_metabric,MB-0423,MB-0423,-0.5907
brca_metabric,MB-0424,MB-0424,-1.3438
brca_metabric,MB-0425,MB-0425,-0.2612
brca_metabric,MB-0426,MB-0426,-0.694
brca_metabric,MB-0427,MB-0427,-0.5883
brca_metabric,MB-0428,MB-0428,-0.483
brca_metabric,MB-0429,MB-0429,0.6541
brca_metabric,MB-0431,MB-0431,0.2411
brca_metabric,MB-0432,MB-0432,0.2553
brca_metabric,MB-0434,MB-0434,-0.9581
brca_metabric,MB-0435,MB-0435,-0.4828
brca_metabric,MB-0436,MB-0436,-0.6967
brca_metabric,MB-0437,MB-0437,0.1441
brca_metabric,MB-0438,MB-0438,-0.8762
brca_metabric,MB-0439,MB-0439,0.2755
brca_metabric,MB-0440,MB-0440,-0.8985
brca_metabric,MB-0442,MB-0442,0.3417
brca_metabric,MB-0443,MB-0443,-0.5557
brca_metabric,MB-0444,MB-0444,0.8971
brca_metabric,MB-0445,MB-0445,-0.1802
brca_metabric,MB-0446,MB-0446,-1.1626
brca_metabric,MB-0448,MB-0448,-0.8956
brca_metabric,MB-0449,MB-0449,-1.1737
brca_metabric,MB-0451,MB-0451,0.6648
brca_metabric,MB-0452,MB-0452,-1.4833
brca_metabric,MB-0453,MB-0453,-0.6881
brca_metabric,MB-0454,MB-0454,0.4476
brca_metabric,MB-0455,MB-0455,0.7108
brca_metabric,MB-0458,MB-0458,-0.666
brca_metabric,MB-0459,MB-0459,-1.1966
brca_metabric,MB-0460,MB-0460,0.1111
brca_metabric,MB-0462,MB-0462,-0.0007
brca_metabric,MB-0463,MB-0463,-0.5858
brca_metabric,MB-0464,MB-0464,-1.8265
brca_metabric,MB-0465,MB-0465,-0.5232
brca_metabric,MB-0466,MB-0466,-0.5142
brca_metabric,MB-0467,MB-0467,0.102
brca_metabric,MB-0468,MB-0468,0.7598
brca_metabric,MB-0469,MB-0469,-0.2569
brca_metabric,MB-0470,MB-0470,-0.4851
brca_metabric,MB-0471,MB-0471,1.1731
brca_metabric,MB-0472,MB-0472,1.7559
brca_metabric,MB-0474,MB-0474,-1.8138
brca_metabric,MB-0475,MB-0475,-0.5392
brca_metabric,MB-0476,MB-0476,0.6334
brca_metabric,MB-0478,MB-0478,-0.7765
brca_metabric,MB-0479,MB-0479,-1.393
brca_metabric,MB-0480,MB-0480,0.242
brca_metabric,MB-0481,MB-0481,-1.6634
brca_metabric,MB-0482,MB-0482,-0.5187
brca_metabric,MB-0483,MB-0483,0.042
brca_metabric,MB-0484,MB-0484,-0.8693
brca_metabric,MB-0485,MB-0485,-0.5419
brca_metabric,MB-0486,MB-0486,-0.0227
brca_metabric,MB-0487,MB-0487,-0.0909
brca_metabric,MB-0488,MB-0488,-0.8507
brca_metabric,MB-0489,MB-0489,0.966
brca_metabric,MB-0490,MB-0490,0.9136
brca_metabric,MB-0491,MB-0491,-0.8146
brca_metabric,MB-0492,MB-0492,-0.3896
brca_metabric,MB-0494,MB-0494,-0.7556
brca_metabric,MB-0495,MB-0495,-2.0355
brca_metabric,MB-0496,MB-0496,-1.1221
brca_metabric,MB-0497,MB-0497,0.5156
brca_metabric,MB-0499,MB-0499,-0.6927
brca_metabric,MB-0500,MB-0500,-1.6394
brca_metabric,MB-0501,MB-0501,-0.5795
brca_metabric,MB-0502,MB-0502,-0.8519
brca_metabric,MB-0503,MB-0503,1.2605
brca_metabric,MB-0504,MB-0504,0.348
brca_metabric,MB-0505,MB-0505,-0.5862
brca_metabric,MB-0506,MB-0506,-0.0126
brca_metabric,MB-0507,MB-0507,-1.2518
brca_metabric,MB-0508,MB-0508,-0.8582
brca_metabric,MB-0509,MB-0509,0.533
brca_metabric,MB-0510,MB-0510,-1.3108
brca_metabric,MB-0511,MB-0511,-0.5071
brca_metabric,MB-0512,MB-0512,-0.8968
brca_metabric,MB-0513,MB-0513,0.325
brca_metabric,MB-0514,MB-0514,-0.8485
brca_metabric,MB-0516,MB-0516,-1.3807
brca_metabric,MB-0517,MB-0517,0.1678
brca_metabric,MB-0519,MB-0519,0.3405
brca_metabric,MB-0521,MB-0521,-1.2132
brca_metabric,MB-0522,MB-0522,-1.1396
brca_metabric,MB-0524,MB-0524,-1.4259
brca_metabric,MB-0525,MB-0525,-1.2088
brca_metabric,MB-0526,MB-0526,0.4991
brca_metabric,MB-0527,MB-0527,0.3993
brca_metabric,MB-0528,MB-0528,-0.1629
brca_metabric,MB-0529,MB-0529,-1.1741
