sample,NSD1
TCGA-E2-A14T-01,11.51
TCGA-E9-A243-01,11.51
TCGA-EW-A1J1-01,11.51
TCGA-EW-A1J2-01,11.51
TCGA-B6-A0WW-01,11.5
TCGA-A8-A07U-01,11.5
TCGA-AR-A0TU-01,11.5
TCGA-BH-A0B1-01,11.5
TCGA-AC-A3OD-01,11.5
TCGA-BH-A1F6-01,11.5
TCGA-D8-A1JB-01,11.5
TCGA-D8-A1X5-01,11.5
TCGA-E9-A1N4-11,11.49
TCGA-A8-A08T-01,11.49
TCGA-A8-A09B-01,11.49
TCGA-AC-A3HN-01,11.49
TCGA-EW-A2FR-01,11.49
TCGA-BH-A18M-11,11.48
TCGA-B6-A0RL-01,11.48
TCGA-BH-A1F0-01,11.48
TCGA-BH-A0BR-01,11.48
TCGA-AC-A2BM-01,11.48
TCGA-BH-A1EY-01,11.48
TCGA-BH-A209-01,11.48
TCGA-E2-A3DX-01,11.48
TCGA-EW-A1OV-01,11.48
TCGA-S3-AA14-01,11.48
TCGA-BH-A0C3-11,11.47
TCGA-BH-A0DL-11,11.47
TCGA-BH-A1EU-11,11.47
TCGA-A8-A06Z-01,11.47
TCGA-E2-A15A-01,11.47
TCGA-AO-A0J6-01,11.47
TCGA-B6-A0RT-01,11.47
TCGA-A8-A086-01,11.47
TCGA-BH-A0DI-01,11.47
TCGA-E2-A106-01,11.47
TCGA-E2-A15J-01,11.47
TCGA-AC-A2FE-01,11.47
TCGA-AR-A24M-01,11.47
TCGA-BH-A1FM-11,11.46
TCGA-A8-A0AD-01,11.46
TCGA-BH-A0W5-01,11.46
TCGA-Z7-A8R6-01,11.46
TCGA-E2-A14S-01,11.45
TCGA-AN-A0G0-01,11.45
TCGA-A8-A07J-01,11.45
TCGA-AN-A0FZ-01,11.45
TCGA-AR-A1AW-01,11.45
TCGA-B6-A0I8-01,11.45
TCGA-A2-A1FV-01,11.45
TCGA-A2-A3XZ-01,11.45
TCGA-AR-A24S-01,11.45
TCGA-E2-A1IU-01,11.45
TCGA-BH-A203-11,11.44
TCGA-A8-A08X-01,11.44
TCGA-AR-A0TQ-01,11.44
TCGA-A2-A0YE-01,11.44
TCGA-BH-A18I-01,11.44
TCGA-A7-A6VW-01,11.44
TCGA-AC-A23H-01,11.44
TCGA-E9-A1N5-01,11.44
TCGA-E9-A5FL-01,11.44
TCGA-BH-A0DO-11,11.43
TCGA-E2-A15C-01,11.43
TCGA-AR-A2LE-01,11.43
TCGA-EW-A1PG-01,11.43
TCGA-GM-A2DH-01,11.43
TCGA-BH-A0B3-11,11.42
TCGA-A2-A0CL-01,11.42
TCGA-A8-A079-01,11.42
TCGA-A8-A09I-01,11.42
TCGA-E2-A14N-01,11.42
TCGA-AN-A0XT-01,11.42
TCGA-E2-A1BC-01,11.42
TCGA-D8-A27R-01,11.42
TCGA-BH-A18P-11,11.41
TCGA-A2-A0YH-01,11.41
TCGA-AO-A0J9-01,11.41
TCGA-E2-A10E-01,11.41
TCGA-E2-A15F-01,11.41
TCGA-E2-A15G-01,11.41
TCGA-AC-A3W7-01,11.41
TCGA-BH-A1FN-01,11.41
TCGA-D8-A146-01,11.41
TCGA-E9-A1RA-01,11.41
TCGA-GM-A2DI-01,11.41
TCGA-C8-A12W-01,11.4
TCGA-A2-A0SY-01,11.4
TCGA-B6-A0X7-01,11.4
TCGA-A2-A3KD-01,11.4
TCGA-E9-A1R3-01,11.4
TCGA-GI-A2C8-11,11.39
TCGA-A8-A09Q-01,11.39
TCGA-AO-A0JI-01,11.39
TCGA-A2-A0ST-01,11.39
TCGA-A7-A0CH-01,11.39
TCGA-B6-A0IH-01,11.39
TCGA-B6-A0X0-01,11.39
TCGA-D8-A141-01,11.39
TCGA-E2-A15H-01,11.39
TCGA-AR-A1AM-01,11.39
TCGA-AR-A2LQ-01,11.39
TCGA-D8-A27M-01,11.39
TCGA-E9-A1ND-01,11.39
TCGA-GI-A2C8-01,11.39
TCGA-BH-A1F2-11,11.38
TCGA-AR-A1AO-01,11.38
TCGA-AN-A041-01,11.38
TCGA-B6-A0I6-01,11.38
TCGA-A8-A06T-01,11.38
TCGA-AC-A3W5-01,11.38
TCGA-B6-A1KC-01,11.38
TCGA-A7-A0CJ-01,11.37
TCGA-AR-A2LN-01,11.37
TCGA-D8-A27E-01,11.37
TCGA-E2-A1IN-01,11.37
TCGA-E9-A1N4-01,11.37
TCGA-S3-AA0Z-01,11.37
TCGA-E2-A15K-06,11.36
TCGA-AN-A0XU-01,11.36
TCGA-A2-A0EN-01,11.36
TCGA-A8-A09A-01,11.36
TCGA-B6-A0RI-01,11.36
TCGA-BH-A0BS-01,11.36
TCGA-AR-A24T-01,11.36
TCGA-AR-A24W-01,11.36
TCGA-BH-A1EN-01,11.36
TCGA-D8-A1XG-01,11.36
TCGA-D8-A27T-01,11.36
TCGA-E9-A1N6-01,11.36
TCGA-S3-A6ZG-01,11.36
TCGA-A2-A0SV-01,11.35
TCGA-A2-A04P-01,11.35
TCGA-AR-A1AR-01,11.35
TCGA-BH-A0WA-01,11.35
TCGA-A7-A0D9-01,11.35
TCGA-AN-A0FS-01,11.35
TCGA-AR-A1AU-01,11.35
TCGA-BH-A0DG-01,11.35
TCGA-E2-A10F-01,11.35
TCGA-AC-A23C-01,11.35
TCGA-E9-A245-01,11.35
TCGA-EW-A1PF-01,11.35
TCGA-E2-A1IG-11,11.34
TCGA-A2-A0D1-01,11.34
TCGA-A2-A0ER-01,11.34
TCGA-AR-A1AP-01,11.34
TCGA-BH-A1EO-01,11.34
TCGA-AR-A250-01,11.34
TCGA-C8-A8HQ-01,11.34
TCGA-LL-A73Y-01,11.34
TCGA-BH-A0BA-11,11.33
TCGA-BH-A0DP-11,11.33
TCGA-BH-A0DT-11,11.33
TCGA-BH-A18J-11,11.33
TCGA-AO-A12D-01,11.33
TCGA-E2-A14X-01,11.33
TCGA-A1-A0SD-01,11.33
TCGA-A2-A04V-01,11.33
TCGA-A8-A090-01,11.33
TCGA-BH-A0BJ-01,11.33
TCGA-AC-A8OS-01,11.33
TCGA-EW-A1J3-01,11.33
TCGA-BH-A0DV-11,11.32
TCGA-A8-A07W-01,11.32
TCGA-AN-A0AM-01,11.32
TCGA-BH-A0C3-01,11.32
TCGA-D8-A143-01,11.32
TCGA-E9-A249-01,11.32
TCGA-GM-A2DM-01,11.32
TCGA-BH-A0B2-11,11.31
TCGA-BH-A18U-11,11.31
TCGA-E2-A1LH-11,11.31
TCGA-BH-A203-01,11.31
TCGA-E9-A1N8-01,11.31
TCGA-OL-A6VO-01,11.31
TCGA-AC-A23H-11,11.3
TCGA-C8-A12T-01,11.3
TCGA-BH-A0BZ-01,11.3
TCGA-A2-A0SX-01,11.3
TCGA-A8-A08H-01,11.3
TCGA-AO-A128-01,11.3
TCGA-A2-A0CZ-01,11.3
TCGA-AN-A046-01,11.3
TCGA-BH-A0BA-01,11.3
TCGA-C8-A1HE-01,11.3
TCGA-A7-A13G-11,11.29
TCGA-BH-A18N-11,11.29
TCGA-AO-A124-01,11.29
TCGA-BH-A0BL-01,11.29
TCGA-A7-A0CD-01,11.29
TCGA-BH-A0HX-01,11.29
TCGA-A7-A4SE-01,11.29
TCGA-BH-A2L8-01,11.29
TCGA-E2-A1IO-01,11.29
TCGA-E2-A153-11,11.28
TCGA-A2-A0EQ-01,11.28
TCGA-A8-A07B-01,11.28
TCGA-A8-A08P-01,11.28
TCGA-AN-A0FY-01,11.28
TCGA-AO-A0JM-01,11.28
TCGA-AR-A0U4-01,11.28
TCGA-A2-A0YC-01,11.28
TCGA-AO-A03V-01,11.28
TCGA-BH-A0E9-01,11.28
TCGA-C8-A12O-01,11.28
TCGA-E2-A15O-01,11.28
TCGA-A7-A0DC-01,11.28
TCGA-E9-A228-01,11.28
TCGA-BH-A209-11,11.27
TCGA-A8-A081-01,11.27
TCGA-A8-A09M-01,11.27
TCGA-BH-A0B9-01,11.27
TCGA-AN-A0FW-01,11.27
TCGA-AO-A0JF-01,11.27
TCGA-A7-A3J1-01,11.27
TCGA-EW-A1P8-01,11.27
TCGA-E2-A14V-01,11.26
TCGA-AN-A0AJ-01,11.26
TCGA-BH-A18U-01,11.26
TCGA-AO-A0J4-01,11.26
TCGA-AC-A8OP-01,11.26
